"","scientific_name","RBU","n","state"
"1","Elodea nuttallii","Dijle - Dyle",47,"current state"
"2","Elodea nuttallii","Zenne - Senne",12,"current state"
"3","Faxonius limosus","Dijle - Dyle",31,"current state"
"4","Faxonius limosus","Mark - Marcq",1,"current state"
"5","Faxonius limosus","Zenne - Senne",51,"current state"
"6","Heracleum mantegazzianum","Dijle - Dyle",832,"current state"
"7","Heracleum mantegazzianum","Mark - Marcq",19,"current state"
"8","Heracleum mantegazzianum","Zenne - Senne",923,"current state"
"9","Hydrocotyle ranunculoides","Dijle - Dyle",71,"current state"
"10","Hydrocotyle ranunculoides","Zenne - Senne",21,"current state"
"11","Impatiens glandulifera","Dijle - Dyle",1060,"current state"
"12","Impatiens glandulifera","Mark - Marcq",74,"current state"
"13","Impatiens glandulifera","Zenne - Senne",948,"current state"
"14","Lagarosiphon major","Mark - Marcq",1,"current state"
"15","Lagarosiphon major","Zenne - Senne",1,"current state"
"16","Ludwigia grandiflora","Dijle - Dyle",114,"current state"
"17","Ludwigia grandiflora","Mark - Marcq",2,"current state"
"18","Ludwigia grandiflora","Zenne - Senne",38,"current state"
"19","Ludwigia peploides","Mark - Marcq",1,"current state"
"20","Ludwigia peploides","Zenne - Senne",1,"current state"
"21","Lysichiton americanus","Dijle - Dyle",7,"current state"
"22","Lysichiton americanus","Zenne - Senne",3,"current state"
"23","Myriophyllum aquaticum","Dijle - Dyle",66,"current state"
"24","Myriophyllum aquaticum","Mark - Marcq",2,"current state"
"25","Myriophyllum aquaticum","Zenne - Senne",40,"current state"
"26","Pacifastacus leniusculus","Dijle - Dyle",39,"current state"
"27","Procambarus acutus","Zenne - Senne",1,"current state"
"28","Procambarus clarkii","Dijle - Dyle",28,"current state"
"29","Procambarus clarkii","Zenne - Senne",13,"current state"
"30","Procambarus virginalis","Dijle - Dyle",8,"current state"
"31","Elodea nuttallii","Dijle - Dyle",45,"baseline"
"32","Elodea nuttallii","Zenne - Senne",9,"baseline"
"33","Faxonius limosus","Dijle - Dyle",30,"baseline"
"34","Faxonius limosus","Mark - Marcq",1,"baseline"
"35","Faxonius limosus","Zenne - Senne",47,"baseline"
"36","Heracleum mantegazzianum","Dijle - Dyle",703,"baseline"
"37","Heracleum mantegazzianum","Mark - Marcq",17,"baseline"
"38","Heracleum mantegazzianum","Zenne - Senne",812,"baseline"
"39","Hydrocotyle ranunculoides","Dijle - Dyle",66,"baseline"
"40","Hydrocotyle ranunculoides","Zenne - Senne",20,"baseline"
"41","Impatiens glandulifera","Dijle - Dyle",847,"baseline"
"42","Impatiens glandulifera","Mark - Marcq",53,"baseline"
"43","Impatiens glandulifera","Zenne - Senne",820,"baseline"
"44","Lagarosiphon major","Mark - Marcq",1,"baseline"
"45","Lagarosiphon major","Zenne - Senne",1,"baseline"
"46","Ludwigia grandiflora","Dijle - Dyle",108,"baseline"
"47","Ludwigia grandiflora","Mark - Marcq",2,"baseline"
"48","Ludwigia grandiflora","Zenne - Senne",37,"baseline"
"49","Ludwigia peploides","Mark - Marcq",1,"baseline"
"50","Lysichiton americanus","Dijle - Dyle",7,"baseline"
"51","Lysichiton americanus","Zenne - Senne",2,"baseline"
"52","Myriophyllum aquaticum","Dijle - Dyle",62,"baseline"
"53","Myriophyllum aquaticum","Mark - Marcq",2,"baseline"
"54","Myriophyllum aquaticum","Zenne - Senne",36,"baseline"
"55","Pacifastacus leniusculus","Dijle - Dyle",39,"baseline"
"56","Procambarus acutus","Zenne - Senne",1,"baseline"
"57","Procambarus clarkii","Dijle - Dyle",22,"baseline"
"58","Procambarus clarkii","Zenne - Senne",13,"baseline"
"59","Procambarus virginalis","Dijle - Dyle",7,"baseline"
